#ies_format_version: 1.0
#file: 20250807_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250807;	094848;	1754540328.000;	        err8;	        err8
20250807;	094852;	1754540332.000;	        err8;	        err8
20250807;	094856;	1754540336.000;	        err8;	        err8
20250807;	094900;	1754540340.000;	        err8;	        err8
20250807;	094904;	1754540344.000;	        err8;	        err8
20250807;	094908;	1754540348.000;	        err8;	        err8
20250807;	094912;	1754540352.000;	        err8;	        err8
20250807;	094916;	1754540356.000;	        err8;	        err8
20250807;	094920;	1754540360.000;	        err8;	        err8
20250807;	094924;	1754540364.000;	        err8;	        err8
20250807;	094928;	1754540368.000;	        err8;	        err8
20250807;	094932;	1754540372.000;	        err8;	        err8
20250807;	094936;	1754540376.000;	        err8;	        err8
20250807;	094940;	1754540380.000;	        err8;	        err8
20250807;	094944;	1754540384.000;	        err8;	        err8
20250807;	094948;	1754540388.000;	        err8;	        err8
20250807;	094952;	1754540392.000;	        err8;	        err8
20250807;	094956;	1754540396.000;	        err8;	        err8
20250807;	095000;	1754540400.000;	        err8;	        err8
20250807;	095004;	1754540404.000;	        err8;	        err8
20250807;	095008;	1754540408.000;	        err8;	        err8
20250807;	095012;	1754540412.000;	        err8;	        err8
20250807;	095016;	1754540416.000;	        err8;	        err8
20250807;	095020;	1754540420.000;	        err8;	        err8
20250807;	095024;	1754540424.000;	        err8;	        err8
20250807;	095028;	1754540428.000;	        err8;	        err8
20250807;	095032;	1754540432.000;	        err8;	        err8
20250807;	095036;	1754540436.000;	        err8;	        err8
20250807;	095040;	1754540440.000;	        err8;	        err8
20250807;	095044;	1754540444.000;	        err8;	        err8
20250807;	095048;	1754540448.000;	        err8;	        err8
20250807;	095052;	1754540452.000;	        err8;	        err8
20250807;	095056;	1754540456.000;	        err8;	        err8
20250807;	095100;	1754540460.000;	        err8;	        err8
20250807;	095104;	1754540464.000;	        err8;	        err8
20250807;	095108;	1754540468.000;	        err8;	        err8
20250807;	095112;	1754540472.000;	        err8;	        err8
20250807;	095116;	1754540476.000;	        err8;	        err8
20250807;	095120;	1754540480.000;	        err8;	        err8
20250807;	095124;	1754540484.000;	        err8;	        err8
20250807;	095128;	1754540488.000;	        err8;	        err8
20250807;	095132;	1754540492.000;	        err8;	        err8
20250807;	095136;	1754540496.000;	        err8;	        err8
20250807;	095140;	1754540500.000;	        err8;	        err8
20250807;	095144;	1754540504.000;	        err8;	        err8
20250807;	095148;	1754540508.000;	        err8;	        err8
20250807;	095152;	1754540512.000;	        err8;	        err8
20250807;	095156;	1754540516.000;	        err8;	        err8
20250807;	095200;	1754540520.000;	        err8;	        err8
20250807;	095204;	1754540524.000;	        err8;	        err8
20250807;	095208;	1754540528.000;	        err8;	        err8
20250807;	095212;	1754540532.000;	       err32;	       err32
20250807;	095216;	1754540536.000;	       err32;	       err32
20250807;	095220;	1754540540.000;	       err32;	       err32
20250807;	095224;	1754540544.000;	       err32;	       err32
20250807;	095228;	1754540548.000;	       err32;	       err32
20250807;	095232;	1754540552.000;	       err32;	       err32
20250807;	095236;	1754540556.000;	       err32;	       err32
20250807;	095240;	1754540560.000;	       err32;	       err32
20250807;	095244;	1754540564.000;	       err32;	       err32
20250807;	095248;	1754540568.000;	       err32;	       err32
20250807;	095252;	1754540572.000;	       err32;	       err32
20250807;	095256;	1754540576.000;	       err32;	       err32
20250807;	095300;	1754540580.000;	       err32;	       err32
20250807;	095304;	1754540584.000;	       err32;	       err32
20250807;	095308;	1754540588.000;	       err32;	       err32
20250807;	095312;	1754540592.000;	       err32;	       err32
20250807;	095316;	1754540596.000;	       err32;	       err32
20250807;	095320;	1754540600.000;	       err32;	       err32
20250807;	095324;	1754540604.000;	       err32;	       err32
20250807;	095328;	1754540608.000;	       err32;	       err32
20250807;	095332;	1754540612.000;	       err32;	       err32
20250807;	095336;	1754540616.000;	       err32;	       err32
20250807;	095340;	1754540620.000;	       err32;	       err32
20250807;	095344;	1754540624.000;	        err8;	        err8
20250807;	095348;	1754540628.000;	        err8;	        err8
20250807;	095352;	1754540632.000;	        err8;	        err8
20250807;	095356;	1754540636.000;	        err8;	        err8
20250807;	095400;	1754540640.000;	        err8;	        err8
20250807;	095404;	1754540644.000;	        err8;	        err8
20250807;	095408;	1754540648.000;	        err8;	        err8
20250807;	095412;	1754540652.000;	        err8;	        err8
20250807;	095416;	1754540656.000;	        err8;	        err8
20250807;	095420;	1754540660.000;	        err8;	        err8
20250807;	095424;	1754540664.000;	        err8;	        err8
20250807;	095428;	1754540668.000;	        err8;	        err8
20250807;	095432;	1754540672.000;	        err8;	        err8
20250807;	095436;	1754540676.000;	        err8;	        err8
20250807;	095440;	1754540680.000;	        err8;	        err8
20250807;	095444;	1754540684.000;	        err8;	        err8
20250807;	095448;	1754540688.000;	        err8;	        err8
20250807;	095452;	1754540692.000;	        err8;	        err8
20250807;	095456;	1754540696.000;	        err8;	        err8
20250807;	095500;	1754540700.000;	        err8;	        err8
20250807;	095504;	1754540704.000;	        err8;	        err8
20250807;	095508;	1754540708.000;	        err8;	        err8
20250807;	095512;	1754540712.000;	        err8;	        err8
20250807;	095516;	1754540716.000;	        err8;	        err8
20250807;	095520;	1754540720.000;	        err8;	        err8
20250807;	095524;	1754540724.000;	        err8;	        err8
20250807;	095528;	1754540728.000;	        err8;	        err8
20250807;	095532;	1754540732.000;	        err8;	        err8
20250807;	095536;	1754540736.000;	        err8;	        err8
20250807;	095540;	1754540740.000;	        err8;	        err8
20250807;	095544;	1754540744.000;	        err8;	        err8
20250807;	095548;	1754540748.000;	        err8;	        err8
20250807;	095552;	1754540752.000;	        err8;	        err8
20250807;	095556;	1754540756.000;	        err8;	        err8
20250807;	095600;	1754540760.000;	        err8;	        err8
20250807;	095604;	1754540764.000;	        err8;	        err8
20250807;	095608;	1754540768.000;	        err8;	        err8
20250807;	095612;	1754540772.000;	        err8;	        err8
20250807;	095616;	1754540776.000;	        err8;	        err8
20250807;	095620;	1754540780.000;	        err8;	        err8
20250807;	095624;	1754540784.000;	        err8;	        err8
20250807;	095628;	1754540788.000;	        err8;	        err8
20250807;	095632;	1754540792.000;	        err8;	        err8
20250807;	095636;	1754540796.000;	        err8;	        err8
20250807;	095640;	1754540800.000;	        err8;	        err8
20250807;	095644;	1754540804.000;	        err8;	        err8
20250807;	095648;	1754540808.000;	        err8;	        err8
20250807;	095652;	1754540812.000;	        err8;	        err8
20250807;	095656;	1754540816.000;	        err8;	        err8
20250807;	095700;	1754540820.000;	        err8;	        err8
20250807;	095704;	1754540824.000;	        err8;	        err8
20250807;	095708;	1754540828.000;	        err8;	        err8
20250807;	095712;	1754540832.000;	        err8;	        err8
20250807;	095716;	1754540836.000;	        err8;	        err8
20250807;	095720;	1754540840.000;	        err8;	        err8
20250807;	095724;	1754540844.000;	        err8;	        err8
20250807;	095728;	1754540848.000;	        err8;	        err8
20250807;	095732;	1754540852.000;	        err8;	        err8
20250807;	095736;	1754540856.000;	        err8;	        err8
20250807;	095740;	1754540860.000;	        err8;	        err8
20250807;	095744;	1754540864.000;	        err8;	        err8
20250807;	095748;	1754540868.000;	        err8;	        err8
20250807;	095752;	1754540872.000;	        err8;	        err8
20250807;	095756;	1754540876.000;	        err8;	        err8
20250807;	095800;	1754540880.000;	        err8;	        err8
20250807;	095804;	1754540884.000;	        err8;	        err8
20250807;	095808;	1754540888.000;	        err8;	        err8
20250807;	095812;	1754540892.000;	        err8;	        err8
20250807;	095816;	1754540896.000;	        err8;	        err8
20250807;	095820;	1754540900.000;	        err8;	        err8
20250807;	095824;	1754540904.000;	        err8;	        err8
20250807;	095828;	1754540908.000;	       err32;	       err32
20250807;	095832;	1754540912.000;	       err32;	       err32
20250807;	095836;	1754540916.000;	       err32;	       err32
20250807;	095840;	1754540920.000;	       err32;	       err32
20250807;	095844;	1754540924.000;	       err32;	       err32
20250807;	095848;	1754540928.000;	       err32;	       err32
20250807;	095852;	1754540932.000;	       err32;	       err32
20250807;	095856;	1754540936.000;	       err32;	       err32
20250807;	095900;	1754540940.000;	       err32;	       err32
20250807;	095904;	1754540944.000;	       err32;	       err32
20250807;	095908;	1754540948.000;	       err32;	       err32
20250807;	095912;	1754540952.000;	       err32;	       err32
20250807;	095916;	1754540956.000;	       err32;	       err32
20250807;	095920;	1754540960.000;	       err32;	       err32
20250807;	095924;	1754540964.000;	       err32;	       err32
20250807;	095928;	1754540968.000;	       err32;	       err32
20250807;	095932;	1754540972.000;	       err32;	       err32
20250807;	095936;	1754540976.000;	       err32;	       err32
20250807;	095940;	1754540980.000;	       err32;	       err32
20250807;	095944;	1754540984.000;	       err32;	       err32
20250807;	095948;	1754540988.000;	       err32;	       err32
20250807;	095952;	1754540992.000;	       err32;	       err32
20250807;	095956;	1754540996.000;	       err32;	       err32
20250807;	100000;	1754541000.000;	       err32;	       err32
20250807;	100004;	1754541004.000;	       err32;	       err32
20250807;	100008;	1754541008.000;	       err32;	       err32
20250807;	100012;	1754541012.000;	       err32;	       err32
20250807;	100016;	1754541016.000;	       err32;	       err32
20250807;	100020;	1754541020.000;	       err32;	       err32
20250807;	100024;	1754541024.000;	        err8;	        err8
20250807;	100028;	1754541028.000;	        err8;	        err8
20250807;	100032;	1754541032.000;	        err8;	        err8
20250807;	100036;	1754541036.000;	        err8;	        err8
20250807;	100040;	1754541040.000;	        err8;	        err8
20250807;	100044;	1754541044.000;	        err8;	        err8
